row_number,text,predicted_sentiment,confidence_negative,is_negative,neg_ratio
970,na prvni pohled to tak fakt nevypada... :DDD,Negative,0.6569154,1,0.2
971,Lucinka by ráda do Třeboně do mého rodného městečka :-) hm,Positive,0.040485896,0,0.2
972,"Doufám, že ne jen na chvilku!!!Díky",Positive,0.06357344,0,0.2
973,Nejlepší čokoláda co znám:-),Positive,0.040678468,0,0.2
974,Tak todle je vážně pecka :-)))),Positive,0.045024984,0,0.2
975,"Janino: ne, ale koukám, že to je jediný co naučili tebe xD",Negative,0.63390934,1,0.21
976,"Jéééé, to chci naučit naší fretku!!! :-P",Positive,0.040603895,0,0.21
977,"O2 Se radči nevyjádří radči mlčí neví co odpovědět(i když si myslím,že lidi co nám odpovídají na dotazy s tím nic moc společnýho nemají)",Negative,0.6585303,1,0.22
978,já jim jen hranolky a nugetky :D,Neutral,0.24147323,0,0.22
979,Na Pankráci po něm šlo asi 30 lidí a mapa fungovala bez problémů. Díky TM za akci a můžete častěji i u jiných značek. Rád si zaběhám :D,Neutral,0.3767351,0,0.22
980,"Já už si to pamatuju,hůů. :D Asi po třech směnách,ale jo. :D",Neutral,0.48353273,0,0.22
981,dáte dneska zase upozornění že se blíží čas zveřejnění a nebo to se plesknete jako v pátek bez upozornění????? děkuji,Negative,0.5863567,1,0.22
982,"Ha ha, rozhledna je po novu za penize a i parkovne je ted na 200%...",Negative,0.5803253,1,0.23
983,tam musí být hodně teplo,Neutral,0.39237276,0,0.22
984,"Dobře,díky. M.",Positive,0.041751347,0,0.22
985,"Kičinka je šikulka a to maličké je nádherné. Vítej na světě, prcku :-)",Positive,0.04182195,0,0.21
986,fňuk já chci červeneeejj :(,Negative,0.64285296,1,0.21
987,"Kdyby v tom nebylo hovězí, tak bych to zkusila...",Negative,0.5068877,0,0.21
988,"doživotní záruka na reoperaci je na ..., když už pak nebudete mít pro další operaci dost tlustou rohovku",Negative,0.54644924,0,0.21
989,Nebyla by nějaká sleva třeba do Aquapalace v Praze? :),Neutral,0.40289634,0,0.21
990,"Na to uz jsem taky narazil, ale bohuzel.:) Neni mozne, ze zamestnavatel neumoznuje placeni online kartou?",Negative,0.5257121,0,0.21
991,"Kačko Krejčová, opravdu si myslíte, že se toto dá srovnávat? Já myslím, že mortalita mláďat mluví za vše.",Negative,0.61951727,1,0.21
992,"Je úžasný. Kdyby ho chtěl někdo darovat, hlásím se jako první zájemce :-D",Positive,0.04121158,0,0.2
993,"Hlavně pokud je to kuřecí čerstvý, tak to JE kvalitní kuřecí.",Neutral,0.24463814,0,0.2
994,staci si to dvakrat precist a da se z toho udelat srozumitelna rec... :-)),Neutral,0.20674384,0,0.2
995,"Denny,krásně fotíš:))",Positive,0.04055541,0,0.2
996,no a zamestnanci si to vychutnavaji jak na servise tak na kuchyni jo kuponky to jedna velka mnamka!,Positive,0.058726743,0,0.2
997,měla jsem ji 2x a opravdu krásně voní,Positive,0.042661782,0,0.2
998,"Dobry den, negativni prispevky misto reakce mazete?",Neutral,0.3723015,0,0.2
999,no k Evženovi by měl přibýt Hugo a Bonifác ;),Positive,0.06540652,0,0.2
1000,"To je bezvadný...Mojinka našla v Biki novou tetu:-o)))Přátelství je krásné....tak holky, ať vydří a je na pořád:-o)))",Positive,0.041255925,0,0.2
