text,label
". <repeat> a pokud si nebudete s něčím vědět rady , obraťte se na operátora , který vám okamžitě a rád pomůže : -d",0
"teď nezbývá nic jiného , než čekat. u nás o2tv také nefunguje - už asi 2 hodiny , vypadá to na větší výpadek.",1
bělení zubů by bylo fantastickééé!,2
radši nechávám celé obaly : )),1
. <repeat> a já se tak dneska snažila . <repeat> dnes dva objednané kupóny : )) . <repeat> taky gratuluji!,2
za 7 let opravdu posun . <repeat> zlevnění o 400 kč . <repeat>,1
"ekaterini moisidu - to ale bude něco mezi tarifem a předplacenkou , ne? nechci , aby se mi každý měsíc odečítala částka např. za balíček sms.",1
mňáááám hned dneska letím do mekáče a jdu si ho dát . <repeat>,2
"+daniel štraub to by byl konec wifi pripojeni v cr , ctu neni jen o mobilnich operatorech to je to nejmensi co dela.",1
"já se ale neptal na vyhlášení , ale na předání : o)",1
"pro mě byl ideální pátek : -) miluju gorily , žirafy , tygry (ale nejsou nějak pohublí?) a ledního medvěda : -)",2
"nejak se posledni dobou hlasi cim dal tim min lidi , a taky jich min hlasuje. neni to skoda , kdyz se hlasovat muze az do konce cervna?",1
"ach ten iphone . <repeat> mělo to byt ""mňam"" , pošlou ho poštou?",1
skvěle voní-doporučuju ! <repeat> a super cena ! <repeat>,2
ten už mám . <repeat>,1
tomáš : na t-mobilu je kolem 13 000 : -) : -d,1
cukrů dělá hrdlička a né holubice : ),1
takový nepatrný rozdíl . <repeat>,1
"myslite , ze teda si tady tarif neporizovat a radsi prejid jinam?",1
nádherná vuně mám ho doma a jiný už nechci : ),2
doufam že to nebude taky hnus jako bez cukru. sory ale musím řict svuj názor.,0
je tu někdo ? <repeat>,1
"dobry večer , je možné zjistit heslo pro komunikaci jinak než ze smlouvy",1
kdo mě má nejradši tak to by se mi líbylo k vánocum,1
jak deaktivuji službu útrata ? <repeat>,1
"proč byl smazaný můj komentář , že jsem tyto originál naušnice swarkovski viděla na aukru za 399kč ? <repeat>",0
"necelých 10 , - kč za 0 , 5 l plzně normální cena ? možná tak před 20 lety : )",1
"jane , třeba se ještě pořád rozpouští . <repeat> : o)",1
jejda kam doskočí ? <repeat> : d,1
"dobrý den , chtěla bych se zeptat od kdy do kdy trvají určitá kola na soutěž o poukázky , nemohu to nikde najít. děkuji moc",1
protoze 1000kc nejsou penize pro tmobile -)),1
"jir vit : vy byste to neumel zapnout , takze se nemusite zajimat ; -)",0
mile po ranu tež se přidavam ; ),2
chystáte nějakou soutěž k vánocům : ) ?,1
"jadoré od dior , nádherná vůně , nemůžu ji však používat , vždy mě rozbolí hlava , velká škoda ! <repeat>",2
david zajímalo by mě kdy uděla mcdonald produkt mc svíčkova nebo mc buřt : d,1
radsi jsem nesla vubec : d,1
gratuluji já stále nevim nic,1
moc pěkní ! <repeat>,2
košice -4°c zamračené,1
"děkuji , jdu to vyplnit",2
i mne to velice zajímá.,1
co třeba chrobert : d,1
jo jeste to na koupani je a behem jedineho odpoledne se kamoska super spalila.fakt doporucuji i ted v rijnu.,1
"tak , už jsem fotku nahrál , za 0 , 3 vteřiny , ale odměna nikde , dík jako : -)) ještě chvíli tak se mnou můžete houpat : -)))",0
a nějaké fotečky z izraele by nebyly ? <repeat>,1
"chtít můžeš , ale mít ho tam nikdy nebudeš.",1
žádný strach . <repeat> každý den k obědu trojku dávám : o),1
kde najdu jaké máte mc flurry?,1
"v ostravě se půjčuje porsche ( <url> taky najdete tady na faceboku. jedna hodina v provozu bez instruktora vyjde na 1990 , -.",1
tak když má šárka za sponzora milku tak kdo jiný by tam měl být . <repeat> tak že šárka záhrobská . <repeat>,1
ale jinak děkuji za zprovoznění,2
toto přáníčko mě taky nepotěšilo,0
já jsem to nahrál poctivě ; ),1
jen tak dál : -)),2
"jej , tak to bych vůbec neřekl , že to bude někdo z hereček , známých lidí . <repeat> zkusím se zaposlouchat , jestli tam tu geislerku uslyším ; )",1
chybí mi 3 body nemáte ještě někdo prosím moje id je 140 302 42 24 díky,1
"držíme pěstičky , ať je vše bez komplikací : -*",2
"teď by mě zajímalo , co tu ten matěj pluhař napsal , když už to smazal : d",1
. <repeat> si vemu radši prášek : -),1
"tam bych nešla . <repeat> nejlépe pod to dopsat : nikdy jsme tu nebyli , nejsme tu a nikdy sem nepujdeme"" . <repeat> : )",0
krásné malé pískle : ),2
už máš napečeno?tak přijedem,1
ještě jsem měla druh poku ale po prvním mi to už napsalo že jsem použila oba. co s tím?,1
"řekl daniel , který si o iphonu může nechat jen zdát . <repeat>",0
"souhlasím. logičtější by bylo vyjmenovat zbylé země , pro které to neplatí <d> d <d> d : d (doufám , že jsem nedal t-mobilu návod : d)",1
tak to nám je moc líto : (odchod každého zvířátka je smutný . <repeat>,0
kdyby to tak vypadalo doopravdy : /,0
"děkujeme a rádi vás uvítáme na našem facebooku sushi bar made in japan , aby vám neutekly žádné akcičky : -)) petra , sushi made in japan",2
38 minut do záložky : d,1
a dneska tam bylo i nádherné počasí,2
"mezi 14 : 50 - 15 : 50 , stejně už se to prozradilo , takže to je jedno xd",1
dneska prisli bonboniery a vsechny roztaty . <repeat> : -( z 25 bonbonu je jeden . <repeat> : -(,0
"ahoj , ty náš vždy něco originálního. ahoj alena k.",1
byli jsme v kaprunu minulý tyden a v červenci jedeme zas : -),2
dkny nejlepšíí proto dávám lajk : ),2
"jediné co člověka mrzí , že v čr lidé pijou víc colu než originál českou kofolu : )",0
dnes jsem v zoo byla ale hrošíka nikde neviděla : (((,0
"jsem u slevomatu nová - můžete mi prosím říci , jak mohu využít získané kredity? na co jsou?",1
všechno dámský . <repeat> tak to už se mi tahle stránka nelíbí ! <repeat>,0
"tak to je blbost! mcdonald's je jediná restaurace , kde nemam strach si něco dát : -)",2
dobrý jen nevím kde jste vzali cenu 890kč když to stojí max 300,1
právě na divadlo tam bývají slevy velice zajímavé . <repeat>,1
samozřejmě že jsem byl přihlášený ; -) nejde to,1
prvních 5 vyhrává poukaz na 1000kč?,1
. <repeat> taková už já jsem . <repeat>,1
mohli by spustit lovení kačenek jako na o2,1
"budou , v září.",1
višňová s chilli,1
jojo jsou : ),1
chválím. konečně to vypadá reprezentativně : ),2
ajo nectu. to je jina.,1
jiří ježíšek se právě asi učí na zítřejší zápočet z angličtiny . <repeat> ; ),1
"<url> (mimochodem , já jsem to nepsal , ale nenašel jsem to jinak než v první osobě ; -) )",1
frýdek-místek a shopping dávno pryč : d v šopinu bylo 13 telefonu frýdek 10 ; ),1
aspoň u něčeho cena zůstala : d,1
jedna s dobrých mobilů . <repeat> : ),2
ono to jde i z webu jenže tam mi to píše tu větu : (,0
ano narodil se v říjnu a jeho porto sme mohli sledovt na kamerách.,1
"podle mého muže mám asi 20litrů krve , miluju ho( burčák) : -)",2
bylo to super ! <repeat> a skvělej průvodce : ),2
kokosová nebo nebo banánová,1
"dobře dojeďte , holky . <repeat>",2
i já jsem dostala kytičku od dcery . <repeat>,2
a kdypak dojde? není skladem . <repeat>,1
a můžete mi nabídnout tarif platinum o2 čistě pro potřeby fyzické osoby?,1
dneska jsem měla . <repeat> naprosté go (gastro orgasm) ! <repeat> <3 <3 <3,2
"já bych si ho podruhý teda nedal. nedobrý , suchý , bez náznaku zeleniny (aspon plátek rajčete by tam mohl být).",0
prosím o bodíky na čepici chybí nám už jen 1 bodík díky mé id 1621182384,1
vidíš . <repeat> to jsem netušila,1
"nesmíte se dotýkat klávesnice , ani myši , pak to dojede až do konce. relax proste : -)",1
tak to je pecka,2
"a ""ne dříve než"" asi znamená kdykoli odteď , ne?",1
to překvapení se dozvíme dneska?,1
"já , ale bylo to schválně : )",1
jak je to možne musi na operátora fungovat jak na dobiti tak i paušal,1
kéééž by karlovy vary : -(,0
"supr dvě minuty , díky : )",2
"taky jsem si nevšimla , že to na slevomatu nabízí. : -(",0
prosím vyplňte mi dotazník o mcdonald´s. : -) čistě ke studijním účelům. : -) <url>,1
myslim že jsem dostal chuť na kofolu jdu si pro ni : ),2
"až tam pojedu , přivezu ti",1
"to je nejlepší pití od doby , co se začalo vařit pivo ! <repeat>",2
"kluci gratuluji , byli jste rychlejší . <repeat>",1
jsou nádherný ! <repeat>,2
"doporučoval bych , aby jste se inspirovali u konkurence (vodafone)",0
konkurenční boj . <repeat> : -))),1
s citronem je nejlepší : )),2
jak jeto s temi poukazkami ze souteze ? <repeat>,1
"fakt ale nedělám si srandu , ale už se blíží konec",1
jarda anelt : přesně tak . <repeat> ! huawei mě nezklamal a ascend je hodně povedený!,2
"navíc může fungovat i jako deštník , tvrdí pan přemek podlaha : )",1
děkuji moc až vyzkouším tak se ozvu.,2
"a je ticho po pěšině , jednání jak s póvlem . <repeat>",0
"mira : jsem rad ze to dela , ale kdyz akce tak vsude . <repeat> ; )",1
"celkově je to guma oproti domácímu burgru : p vážně kdo tohle jí tak si to asi nezkusil udělat doma z čerstvých věcí , je to 100 a 1",0
krásný den i vám ! <repeat>,2
leží v nemocnici . <repeat> zašívaj mu prdel aby se na nás nevysral . <repeat> =d,0
a posíláte je i poštou?,1
první tarif celý + druhý poměrnou částí.,1
krásně voni . <repeat>,2
chození na záchod taky zlepšuje náladu. dýchání taky. tak chci vidět ty pokusy =) ale plus za vědu!,1
já mám vynulované skore : ((((( nevíte proč ? <repeat>,0
my přijdeme.,1
to je reklama! ps : kolik za to dostáváš xd,0
"prosím do kdy vfcz pokryje signálem 3g/cdma lokalitu : 49°34'52.778""n , 14°10'36.020""e děkuji za odpověď!",1
tam jsem byl na vojně,1
taky mám je to super : ))),2
pětilitrovku kofoly ? : d,1
"to je nádhera , moc gratuluji , jsou úžasní : -)",2
dobře vy : -)))))),2
"touset šunka sýr , celé menu s vanilkovým latté. mažel zase jedině freshburger menu : -)",2
"paní renáto , nevěděla jsemže to nejde. ale děkuji.",1
chce někdo mobilní net bez fup za 540kč i s dph?,1
"kdyby stál do 5tis. tak možná , , ale stojí bezmálá třikrát tolik <d> d , to si raději zajedu na dovolenou : ))",0
"reálně samozřejmě pod 10 , nezapomeňte dodat.",1
dobrý den je možné získat mobil samsung galaxy y k stávajícímu tarifu o2 neon sms za zvýhodněnou cenu 495kč ?,1
na wc.a výrobky od apple bych rovnou spláchl . <repeat>,0
růžový adidas,1
nějak tomu nerozumím když budu chtít jen ten internet na doma tak mi to půjde jenom na 1 místě? děkuji za odpověd,1
a co bude až se to naučím?,1
"moje fotosleva tam zatím není přidaná , ale kredity za fotku už ano : -)",1
krevetový mcwrap je to nejlepší z toho co máte momentálně v nabídce : ),2
jn na uhelný : d,1
nejsou nahodou k dispozici pohledni maseri? : -p,1
"novinka? super : ) od kdy je v prodeji , už teď?",2
možná vás neberou vážně kvůli vašemu pravopisu . <repeat> tolik hrubých chyb nemá ani třeťák . <repeat>,0
já nemám také připsáno a posílala jsem 3.9 doporučeně a už se asi nedočkám,0
"hmmm už 3 den se snažím uložit obrázek a dát troufanec na profil , vždy se to sekne a pak zmizí : -(((((",0
"myslíme tím navýšení fup limitu u všech tarifů vy židi! tyto limity byly dostačující před 2-5 roky , né dnes!",0
to je na pustevnách? : d,1
"krásné bude zítra , kdy mi od vás přibude další voňka : o)",2
asi jim taky napíšu něco pěknýho : d,1
jak pošlu bodiky nekomu jinemu ? <repeat>,1
sbíhají . <repeat> jen kdyby to tak opravdu vypadalo na tácku ! <repeat> =op,1
mmmmm : d hned bych si dal,2
t-mobile> tak co bude? cela tahle diskuze ani reakce ostatnich vas nezajimaji?,0
milane zaplatím ti léčebnu ?,1
neříkej : d bez tebe bych to nevěděl : d,1
hradec není v plánu ? <repeat>,1
dalšímu už kouká čumáček : -))))kdypak asi vyleze?,2
"ještě k převodu ""volných"" minut. ty se údajně převádí do dalšího měsíce. jakým způsobem? opět až po spotřebování těch aktuálních?",1
jj děkuji moc,2
"jestli neuvažujete o tom , že kredity z kola šteští budou platit neomezeně : o)nebo aspoň dýl než je to teď",1
to bych potřebovala jako sůl : -)),2
by ani nebyl . <repeat>,1
mají zákazníci nevlastnící paušální sim také možnost vyzkoušet bezplatně internet na 3 měsíce zdarma?,1
no to jsou kuřátka . <repeat> to nemá chybu : ),2
"mohl bych se zeptat , v kolik máte zítra na svoboďáku otevřeno . <repeat> připadně kde bude víc kusů iphonu ve vaňkovce nebo na svoboďáku ? děkuji",1
"klasika , ticho po pěšině . <repeat> : -((",0
"super , moc gratuluji a držím palce ať vše dobře dopadne",2
ty musíš být z toho slevomatu úplně unešená. se ti za poslední půlrok líbil aspoň 10x ; ),1
"skvělá , můj favorit.",2
naštestí nemam ale popravde je to pítchovina mohly by tam davat něco rozumnyho,0
"škoda , že u nás prší : /",0
spíš to nebi ne ; -),1
prosim o odpoved co nejdriv mam docela dost prace a stakovymdle netes nemam sanci nic udelat,1
jsem pro zte skate,1
uzasne to je : ),2
na stránkách vám nefungují obrázky ; ),1
jééé i jááá : o)),2
"njn , co nadelam . <repeat> nebylo to spatne ; )",1
inteligentní příspěvek : ) gratuluji,2
super! jsem nadšený! : ),2
též mám . <repeat> je skvělý : ),2
gaviály také fotím moc ráda. tahle fotečka se opravdu povedla.,2
"ok , díky. : -)",2
"""chce přejmenovat na škyťáka"" . <repeat> : -d : -d lol : -d",1
"bylinková je super , mne chutí tak ako všetky : )",2
jenom 40 . <repeat> a co příští týden ? <repeat> : -(,0
kde najdu nějaký highscore?,1
takový malý koloušek . <repeat> jéééé,2
"a není to škoda , že nemají kofolu? tu já zrovna tak moc ráda . <repeat>",1
"tak tak , irobot nebude. ale bodíky taky potěší. : -) no a každopádně gratuluju. to , že bude hranice pokořena ještě dnes , tipoval málokdo.",2
"když už to chtějí fotit , tak by si mohli aspoň odpustit ten blesk ne ! <repeat> > : o : //",0
"holky jsou to ty velké , mají to napsáno v pravidlech : )",1
tak to je nádhera : ) taky přeji krásné ráno : ),2
"tak když už jste tam ty dvě koruny našli , tak je tedy vraťte. aby nedělaly v systému a účetnictví nepořádek.",0
"sakra , kde to dělaj , že bych tam poslala naší kočku?",1
mě se líbí ten pán : )),2
že bych tam zajel : (,1
já měl bm v benátkách a maso měli z uhc . <repeat> nic moc. : ),0
tomáš t. turek dobře ty : d,1
ať se mu tady líbí a zplodí hodně potomků : -),2
"doufám , že prasátko opět uvidíme , je to jediná reklama co se mi líbí",2
neporadil by jste my jeste jak na tomto telefonu nastavit sms branu abych mohl posilat smsky.dik,1
tu bych chtěla =),2
péťo a to nemužeš dát nějaký příspěvek z plzně ? <repeat> : o,1
"prostě a jednoduše si to tady zákazníci nechají líbít s tím , že prej na to maji. je to tu samá masírka , tak co bys chtěl.",0
průměrná dostupnost it služby je mezi 99 - 99.95. vdf má tak 60%,1
jsem zvědavá jak to zvládnou . <repeat> když jim celej život nosili jídlo pod rypák a teď budou odkázaný jen nasebe ! =),1
nádherná stvoření : ),2
já jinak problémy s o2 nemám. : ),2
to je snezny misanek kofolacek : ),2
"je pravda , že reklama je na hraně , ale proč ne ?",1
"tvoje chyba , že neumíš číst ! <repeat> poklona ! <repeat>",0
"75? nějak moc , ne?",0
kolik bereš provizí : ),1
kdy se dočkají wp uživatelé ? <repeat>,1
"lepší je mluvit s operátorem , než se k něčemu dostanu , tak bych u toho strávil dlouhou dobu",1
". <repeat> pamatuji si to z dětství , docela jsem se u toho bavil a namachroval , : )",2
"lenko , já to myslel ironicky , mě se právě nelíbí účtování po minutách a chtěl bych po vteřinách.",1
ty jsou překrásný ! <repeat>,2
"dobrý den. formulář se mi bohužel nedaří otevřít , zkusím to odjinud dnes večer.",1
nejlepší zvíře : ),2
"to je teda blbost! a já budu postiženým číst noviny , jedno slovo za korunu ! <repeat>",0
no já mám tarif rodina a myslím si že zas tak špatné to není volat 5 lidech a sms a mms za 320 měsíčně . <repeat>,2
zase? opet? znovu? vy uz si delate srandu ne? to je snad co dva dny co to vypinate,0
nápravu u t-mobile je třeba sjednávat především v den uzavřeni smlouvy - jejím neuzavřením. #lessoncostlylearned,0
"vzdy cerstva zelenina , to by se mi taky libilo d",1
a co to byloo za hru?,1
"mimochodem nepřecházím s telefoním číslem od vodafone , pořídila jsem si nové , nechci tím mást přátele , že jej pořád užívám.",1
"ahoj , nezbyly někomu 3 body? nechci je pro děti do školky , chci je pro sebe : -) díííík - 1534006066",1
to je jak naše klea : -),1
na co jim malovat iluzy dokonalého světa.,1
"no podle toho sdělení , které pr odd. vytvořilo a bezmyšlenkovitě kopírovalo k jakémukoli dotazu. inu , toi svědčí o mnohém ; -)",0
upřímný pohled : dd,1
z toho výběru lumia 800,1
"článek mě zaujal a první myšlenka byla na kambušku , která bude mít také tu nejlepší péči a věřím , že to stejně dobře dopadne.",1
ku.va ja mam chut na cokoladu.,1
"ano , souhlasím . <repeat> vlastní zkušenost. : : )))",1
právě si dávám kofolu : ),2
nejlepší je stejně fresh : d,2
"to víte , potřebujeme si nějak vydělat. kdo má enormní zisky , má ještě vetší hlad po penězích.",0
"já vím , ale koupila jsem si jen 2 vouchery : -). chystám se v nejbližší době na jejich výbornou kaši a se slevou by to bylo ještě lepší . <repeat>",1
"moje oblíbená značka , jo , jo . <repeat> to kdyby někdo nevěděl co mi koupit : -)",2
"tak přesně tudle podlahu jsme si koupili! doufám , že to bude tak úžasné i u nás!",2
"taky souhlasím , kofola by si měla udělat pořádek a vyhodit nepoctivce",1
děkuji milko,2
strašná pecka vám povím. konečně teď je fb in.,1
jak dlouho bude trvat stavba?,1
"je to pořád něco , chvíli nejdou mobily , chvíli nejde televize . <repeat> ale podle o2 je vše v pořádku a proto jsou ceny služeb nedotknutelné. : -(",0
dobrý den chtěl bych se zeptat zda telefony koupené u o2 jsou neblokované na ostatní mobilní operátory.děkuju,1
ty zvířata se zblázněj z těch vyjevených turistů . <repeat>,0
jiří : profesionální kuchař to asi bude umět namíchat lépe než drtivá většina lidí : -),1
ja uz teda volam! z vodafonu do vodafonu. takze dekuji za rychlou oprawu.,1
"dobře , takže už to jde i na hlasovou sim. aspoň něco. díky za odpověď",1
je to děsnej previt . <repeat> ale roztomilej : dminule sem ho naháněla po výběhu aby šel domů a on se tím neskutečně bavil : d,2
ách : ( závidím : d,1
"vlézt mi na kapotu svalnatý chlap , nebo polonahá holka , ženu je vidlemi : -d)",1
"a prosím nejen odkaz na vaše stránky. je skutečně pravda , že si za příchozí hovor účtujete 34 , 80 ? <repeat>",1
samozřejmě plzeň : -),1
"myslím , že už jste to fakt přehnali! pro mě fup je to nejsprostější slovo , mnohem sprostější , než to předešlé!",0
"tak jsem to opět zkoušela a stále nejde dobít kredit z mého zera. myslela jsem si , že vám záleží na zákaznících , ale asi vůbec ne : -(",0
"taky mi nic neprislo , zadny voucher . <repeat> : -(",0
škoda já ten formulář vyplnila a nic : (((,0
"nic moc chuť , je to fakt pro fajnšmekry zralých sýrů. jak sýr , tak omáčka.",0
"héj , medojed nejvíc zvíře : ) . <repeat> když jsem tam byl tak tam fůrt lítal sem a tam : ddd",2
